team,fg_pct,opp_fg_pct,three_pt_pct,opp_three_pt_pct,ft_pct,rebounds,opp_rebounds,assists,steals,opp_steals,trnovrs_commited,pts,opp_pts,opp_fouls,prev_season,playoffs
Los Angeles Lakers*,0.522,0.48,0.337,0.206,0.778,43.1,39.2,28.7,8.2,9.3,17.3,113.3,105.8,23.5,1,1
Milwaukee Bucks*,0.493,0.467,0.327,0.295,0.764,42.8,41.5,25.6,9.6,7.5,16.2,111.4,102.7,25.4,1,1
New Jersey Nets*,0.486,0.492,0.201,0.304,0.755,43,39.9,25,8.8,9.2,18.5,105,106.9,23.5,1,1
New York Knicks,0.46,0.478,0.343,0.248,0.686,40,46.1,23.1,8.8,8.6,17.7,99.5,105.2,24.8,0,0
Philadelphia 76ers*,0.487,0.493,0.228,0.291,0.758,44.4,41,24.2,10.3,9.6,19.1,108.6,106.3,26.2,1,1
Phoenix Suns,0.503,0.488,0.208,0.319,0.726,40.3,39.3,26.3,8.9,9.7,20.4,104.3,107.2,25.6,1,0
Portland Trail Blazers*,0.496,0.502,0.269,0.335,0.765,40.1,41,25.2,9.9,8.8,17.7,109.2,108.2,26.2,1,1
Sacramento Kings*,0.49,0.494,0.224,0.26,0.778,41.8,41.4,27.4,7.2,8.9,18.2,106.2,109.2,24.8,0,1
San Antonio Spurs*,0.506,0.493,0.235,0.304,0.746,40.6,40.4,26.4,9.3,9.3,19,106.5,108.2,24.6,1,1
Seattle SuperSonics,0.472,0.487,0.263,0.254,0.779,42,41.2,24.4,9.2,8.1,17.7,105.9,106,24.8,0,0
Utah Jazz*,0.488,0.473,0.207,0.259,0.716,41.7,43.7,25.8,8.4,8.8,17.8,104.2,104.6,26.1,1,1
Washington Bullets*,0.463,0.467,0.284,0.274,0.745,42.7,46.9,21.3,7.6,8.7,16.4,103,103,23.3,1,1
Atlanta Hawks*,0.481,0.451,0.318,0.3,0.759,47.8,43.4,25.9,8.7,7.7,16,112.6,105.2,25.4,1,1
Boston Celtics*,0.517,0.463,0.366,0.306,0.808,43.2,43.3,29.7,6.9,8.9,16,113.5,106.8,23.5,1,1
Chicago Bulls*,0.473,0.483,0.261,0.341,0.778,46.1,42.2,27.1,8.6,7.4,15.9,108.6,107.6,23.3,1,1
Cleveland Cavaliers,0.47,0.478,0.24,0.278,0.697,44.1,43.8,22.9,8.1,9.7,19.4,102.6,106.4,24.9,0,0
Dallas Mavericks*,0.487,0.478,0.354,0.295,0.791,44.6,43.7,24.2,8.3,6.9,14.5,114.9,108.7,25.7,1,1
Denver Nuggets*,0.471,0.495,0.271,0.313,0.769,41.8,44.4,26.5,8.6,6.4,13.9,109.3,110.2,24.5,1,1
Detroit Pistons*,0.49,0.462,0.231,0.317,0.765,46.6,41.7,24.2,7.7,8,17,109.2,105.8,24.8,1,1
Golden State Warriors*,0.479,0.493,0.319,0.337,0.78,42,44.2,24.7,8.5,8.2,16.1,108.9,111.2,24.3,0,1
Houston Rockets*,0.477,0.463,0.275,0.282,0.741,44.6,42.9,27.1,7.9,8.8,16.8,106.5,105.5,23.4,1,1
Indiana Pacers*,0.472,0.48,0.297,0.299,0.782,43.8,45.1,26.4,8.5,8,15.5,106,106.6,22.6,0,1
Los Angeles Clippers,0.452,0.518,0.224,0.344,0.742,39.8,45.3,23.3,8.9,9.5,17.6,101.2,112.3,23.9,0,0
Los Angeles Lakers*,0.516,0.467,0.367,0.283,0.789,43.6,41.4,29.1,8.7,8.6,16.3,115.6,106.5,24,1,1
Milwaukee Bucks*,0.475,0.47,0.323,0.289,0.766,41.6,44.4,24.7,10.2,8,15.2,109.5,105.6,24.5,1,1
New Jersey Nets,0.476,0.48,0.323,0.322,0.767,42.5,41.3,23.6,7.6,9.7,19.2,105.6,110.5,25.2,1,0
New York Knicks,0.474,0.49,0.333,0.263,0.73,40.3,46.5,23.9,8.7,9.4,17.5,104.8,111.1,24,0,0
Philadelphia 76ers*,0.491,0.491,0.259,0.286,0.753,43.5,42.4,24.1,9.5,10.1,18.8,108.3,108.5,24.6,1,1
